fecha_reparto,pred
2024-10-18,9545.5009765625
2024-10-19,9510.341796875
2024-10-20,9326.2880859375
2024-10-21,9561.9140625
2024-10-22,9481.34765625
2024-10-24,10218.3681640625
2024-10-25,9933.5947265625
2024-10-26,9912.4326171875
2024-10-27,9991.2333984375
2024-10-28,9642.9072265625
2024-10-29,9338.3994140625
2024-10-31,9983.185546875
2024-11-01,9895.759765625
2024-11-02,9507.0205078125
2024-11-03,9647.890625
2024-11-04,9226.5126953125
2024-11-06,9052.68359375
2024-11-07,10091.7939453125
2024-11-08,10360.87890625
2024-11-09,10263.1943359375
2024-11-10,9922.1533203125
2024-11-11,9386.140625
2024-11-12,9303.525390625
2024-11-13,9477.55078125
2024-11-14,9972.1396484375
2024-11-15,9743.033203125
2024-11-16,9459.01953125
2024-11-17,10536.8505859375
2024-11-20,8875.0400390625
2024-11-21,9728.361328125
2024-11-22,10282.345703125
2024-11-23,10459.791015625
2024-11-24,10456.6923828125
2024-11-25,10151.2119140625
2024-11-26,9222.0458984375
2024-11-27,10027.873046875
2024-11-28,10490.771484375
2024-11-29,10055.1796875
2024-11-30,9695.912109375
2024-12-01,9615.4921875
2024-12-02,9303.525390625
2024-12-04,9299.1650390625
2024-12-05,10029.9287109375
2024-12-06,9699.0517578125
2024-12-07,10035.38671875
2024-12-08,10448.4609375
2024-12-09,9222.0458984375
2024-12-10,9386.140625
2024-12-11,9405.689453125
2024-12-12,9872.1123046875
2024-12-13,9962.7138671875
2024-12-14,10264.7685546875
2024-12-15,9618.9501953125
2024-12-16,9203.2880859375
2024-12-17,9369.0048828125
2024-12-18,9592.0390625
2024-12-19,10213.3056640625
2024-12-20,10664.77734375
2024-12-21,9830.970703125
2024-12-22,9760.1640625
2024-12-23,9467.2109375
2024-12-24,9152.9208984375
2024-12-26,9766.259765625
2024-12-27,10367.9306640625
2024-12-28,9716.634765625
2024-12-29,9664.0068359375
2024-12-30,9226.5126953125
2024-12-31,9226.396484375
2025-01-03,10001.703125
2025-01-04,10234.31640625
2025-01-05,9912.4326171875
2025-01-06,9114.7705078125
2025-01-08,9111.9697265625
2025-01-09,9487.0078125
2025-01-10,9885.5009765625
2025-01-11,10115.798828125
2025-01-12,9681.9853515625
2025-01-13,9186.6318359375
2025-01-15,8907.8955078125
2025-01-16,9440.654296875
2025-01-17,9759.0576171875
2025-01-18,10149.904296875
2025-01-19,9780.01953125
2025-01-20,8967.8115234375
2025-01-22,8988.0048828125
2025-01-23,11053.0185546875
2025-01-24,11341.9091796875
2025-01-25,10861.263671875
2025-01-26,10273.2509765625
2025-01-27,9664.6318359375
2025-01-29,9826.88671875
2025-01-30,10487.560546875
2025-01-31,10760.89453125
2025-02-01,10903.88671875
2025-02-02,10817.736328125
2025-02-03,9244.81640625
2025-02-05,9685.9033203125
2025-02-06,10325.5478515625
2025-02-07,10473.9091796875
2025-02-08,10347.4775390625
2025-02-09,10248.0478515625
2025-02-10,9122.3955078125
2025-02-12,9237.25390625
2025-02-13,9943.330078125
2025-02-14,10269.9853515625
2025-02-15,10066.703125
2025-02-16,10227.203125
2025-02-17,8997.7763671875
2025-02-19,9308.0068359375
2025-02-20,10138.3359375
2025-02-21,10235.884765625
2025-02-22,10102.53515625
2025-02-23,10035.5849609375
2025-02-24,8988.0048828125
2025-02-26,8997.7763671875
2025-02-27,11579.9658203125
2025-02-28,11616.6484375
2025-03-01,10418.044921875
2025-03-02,10471.6396484375
2025-03-04,9937.1044921875
2025-03-05,9684.052734375
2025-03-06,10190.7958984375
2025-03-07,10745.5556640625
2025-03-08,10737.005859375
2025-03-09,10299.3671875
2025-03-11,9812.859375
2025-03-12,10078.4765625
2025-03-13,10696.6962890625
2025-03-14,10611.583984375
2025-03-15,10536.4208984375
2025-03-16,10280.9228515625
2025-03-18,9148.77734375
2025-03-19,9217.3837890625
2025-03-20,10274.875
2025-03-21,10225.7197265625
2025-03-22,10078.396484375
2025-03-23,10213.3037109375
2025-03-24,9055.962890625
2025-03-25,9075.0478515625
2025-03-26,9166.4580078125
2025-03-27,10298.3232421875
2025-03-28,10139.83984375
2025-03-30,10369.8173828125
2025-03-31,8997.7763671875
2025-04-02,8918.3173828125
2025-04-03,9837.375
2025-04-04,9953.6494140625
2025-04-05,9845.908203125
2025-04-06,10121.849609375
2025-04-08,8730.4697265625
2025-04-09,8928.0888671875
2025-04-10,9930.8994140625
2025-04-11,10764.9912109375
2025-04-12,10326.0537109375
2025-04-13,10765.1474609375
2025-04-15,8942.525390625
2025-04-16,9107.53125
2025-04-17,9709.228515625
2025-04-18,9685.0244140625
2025-04-19,9681.3466796875
2025-04-20,9895.421875
2025-04-22,8898.1240234375
2025-04-23,8918.3173828125
2025-04-24,9807.4443359375
2025-04-25,9895.11328125
2025-04-26,9676.9306640625
2025-04-27,10029.3193359375
2025-04-28,8898.1240234375
2025-04-29,8928.0888671875
2025-04-30,9117.302734375
2025-05-02,9719.2958984375
2025-05-03,9588.603515625
2025-05-04,9683.798828125
2025-05-06,8817.20703125
2025-05-07,8817.20703125
2025-05-08,10197.7001953125
2025-05-09,9885.3515625
2025-05-10,9672.955078125
2025-05-11,9765.626953125
2025-05-13,8708.400390625
2025-05-15,9455.03515625
2025-05-16,10001.296875
2025-05-17,9289.2880859375
2025-05-18,9326.2880859375
2025-05-20,8981.55859375
2025-05-21,8817.20703125
2025-05-22,9434.5498046875
2025-05-23,10124.1669921875
2025-05-24,9847.50390625
2025-05-25,9911.32421875
2025-05-26,9145.84375
2025-05-27,8988.0048828125
2025-05-28,8967.8115234375
2025-05-29,10210.8857421875
2025-05-30,9400.3974609375
2025-05-31,9448.3984375
2025-06-01,9535.9716796875
2025-06-02,8967.8115234375
2025-06-03,8817.20703125
2025-06-04,9217.060546875
2025-06-05,9704.9267578125
2025-06-06,9983.185546875
2025-06-07,9693.1484375
2025-06-08,9535.529296875
2025-06-09,8967.8115234375
2025-06-10,8859.0048828125
2025-06-11,8686.33203125
2025-06-12,10330.6904296875
2025-06-13,9313.7421875
2025-06-14,9293.6484375
2025-06-16,8351.4453125
2025-06-17,8779.9638671875
2025-06-18,8351.4453125
2025-06-19,9616.3173828125
2025-06-20,10008.6396484375
2025-06-21,9638.8154296875
2025-06-23,8779.9638671875
2025-06-24,8808.18359375
2025-06-25,8817.20703125
2025-06-26,10016.2734375
2025-06-27,9676.8955078125
2025-06-28,9460.125
2025-06-30,8808.18359375
2025-07-01,8808.18359375
2025-07-02,8817.20703125
