fecha_reparto,Real,Predicción
2024-08-05,10954.358333327,10203.470230928562
2024-08-07,12812.924999994,10828.261338796257
2024-08-08,8485.675,10110.13685587519
2024-08-09,11189.250000009,11435.30967930451
2024-08-10,8088.633333343,12639.973794207723
2024-08-11,8833.741666678001,12391.379272427444
2024-08-12,9764.841666672,11157.936424418374
2024-08-14,6518.008333334,10803.174564840456
2024-08-15,7838.649999994,10301.223331426128
2024-08-16,11339.966666664,11384.211604036505
2024-08-17,9084.65,10309.951962232863
2024-08-18,9961.475000009,9786.325695610769
2024-08-19,10164.491666672,8262.56619335624
2024-08-21,8349.99166666,9175.478904567377
2024-08-22,8353.333333295,8090.789366064637
2024-08-23,9352.574999971,10879.43772088885
2024-08-24,10387.941666647,11823.708157261388
2024-08-25,8668.274999986,13531.863478908348
2024-08-26,10020.974999984,12025.208983617724
2024-08-28,8484.93333332,11616.001571251012
2024-08-29,9898.866666664,10719.198273125277
2024-08-30,11498.49999998,11601.352032358713
2024-08-31,10130.416666654,9660.062749584895
2024-09-01,6466.15,9715.033662410007
2024-09-02,7849.18,8699.514970370363
2024-09-04,7012.03,7788.356517388139
2024-09-05,8015.79,8532.324444740036
2024-09-06,10754.17,9718.744581753319
2024-09-07,8981.8,10339.922287822461
2024-09-08,9871.550000000001,10470.024346646567
2024-09-09,9941.84,8911.677898597132
2024-09-11,7835.33,7767.350556856585
2024-09-12,8091.82,8462.081752124055
2024-09-13,9521.67,10235.651372171675
2024-09-14,8557.24,8340.589268922518
2024-09-15,8465.87,10735.45244337564
2024-09-16,9821.76,8443.458795704617
2024-09-18,8216.87,7256.88546972083
2024-09-19,9762.3,9413.937068645731
2024-09-20,9060.63,10669.98014964941
2024-09-21,9178.88,10357.691617785546
2024-09-22,8377.02,11270.301167029038
2024-09-23,10258.92,8334.170281518403
2024-09-25,7429.43,8293.217794817649
2024-09-26,11776.14,10207.233548513888
2024-09-27,9220.67,9475.534391191164
2024-09-28,9579.13,9238.500879568612
2024-09-29,10142.58,9792.218418124061
2024-09-30,12127.0,7641.188902883258
2024-10-01,7418.46666666,7523.559966184995
2024-10-03,6488.283333356,9408.649280117517
2024-10-04,7314.025000002,9056.531981347334
2024-10-05,8521.016666672,10538.946616211657
2024-10-06,6683.333333326,12390.559193148763
2024-10-07,11286.416666629,10186.089822118123
2024-10-08,12522.574999954,8759.663034029525
2024-10-10,9634.566666628,9205.975416920435
2024-10-11,8144.808333303,9473.96591900009
2024-10-12,8342.524999965,9968.735572939755
2024-10-13,8064.633333305,9396.307495473833
2024-10-14,10829.708333331,8900.54673060577
2024-10-15,9548.100000021,7548.0653087149785
2024-10-17,6976.791666689,10626.691338966295
2024-10-18,7811.008333277,10826.453601848194
2024-10-19,11795.099999966,9542.98198233431
2024-10-20,8945.141666634,8921.721940802061
2024-10-21,11647.008333321999,9401.325482134835
2024-10-22,10298.866666656,8622.484599789797
2024-10-24,7257.108333338,12602.534678955863
2024-10-25,8540.15000001,11011.711493585966
2024-10-26,11143.258333272,11068.74495107306
2024-10-27,8224.724999966,9871.678872272158
2024-10-28,11285.374999922,10991.874481299632
2024-10-29,10289.90833326,8959.051692942307
2024-10-31,8151.766666581,9236.181825301075
2024-11-01,7471.59,8146.196580372991
2024-11-02,6483.69,10033.237923315888
