Fecha,Real,Predicción
2024-12-01,7491.116666666,11501.006277202076
2024-12-02,5950.01,8919.012441053346
2024-12-04,7117.84,9827.553288433915
2024-12-05,11919.21,11979.568152205175
2024-12-06,9906.53,10136.76883251404
2024-12-07,10656.97,12568.974504940266
2024-12-08,12007.3,12563.919457094227
2024-12-09,9064.29,10167.001417345984
2024-12-10,8962.03,10467.51533092306
2024-12-11,10269.01,11139.275676018295
2024-12-12,8869.81,10769.914903880219
2024-12-13,8530.66,12275.922875959244
2024-12-14,11255.539999999999,12275.971484787897
2024-12-15,7520.6,10889.978777357395
2024-12-16,9537.64,10607.000119083448
2024-12-17,10939.81,11431.03697999495
2024-12-18,10450.18,9193.377541066022
2024-12-19,10148.8,10862.745682555109
2024-12-20,13994.42,11842.16280236153
2024-12-21,12267.44,11030.483251008769
2024-12-22,12781.49,11023.686272450683
2024-12-23,13386.37,11117.12873774622
2024-12-24,9556.94,9443.909311331676
2024-12-26,10388.09,10732.206553437894
2024-12-27,12972.96,11418.89075115128
2024-12-28,12448.58,9725.417549399037
2024-12-29,15207.63,10821.36373662047
2024-12-30,13457.916666653,10974.635765778581
2024-12-31,13186.683333323,9317.747230203007
2025-01-03,8764.208333328,12141.840618974762
2025-01-04,9092.625000014,13147.900926941955
2025-01-05,13560.599999976,12146.936860552283
2025-01-06,12218.041666649,11487.589814535328
2025-01-08,11773.98333332,11455.823733792258
2025-01-09,14683.641666598,11089.646339768853
2025-01-10,12504.541666709,12481.284599245153
2025-01-11,10260.416666641,13410.912156454557
2025-01-12,9868.841666639,12432.881650354997
2025-01-13,13226.666666615,11693.689949242416
2025-01-15,10078.141666616,11531.544014780391
2025-01-16,12736.316666626,11115.905527986464
2025-01-17,11159.133333289,13135.990185660421
2025-01-18,11846.083333303,13130.652514803578
2025-01-19,10592.86666664,13616.257973839913
2025-01-20,10996.524999969,12709.081661897033
2025-01-22,10246.849999989,12408.00450102045
2025-01-23,10775.983333311,11823.602802434316
2025-01-24,11661.633333292,10944.829757471252
2025-01-25,11121.591666606,11329.197228168072
2025-01-26,12229.241666634,13213.828628825366
2025-01-27,12811.908333274,12785.242716314904
2025-01-29,10672.949999973,12748.572627210375
2025-01-30,15952.949999965,14207.554156950333
2025-01-31,14921.508333275,12346.675149140556
2025-02-01,10812.39,11888.04718901217
2025-02-02,9385.78,12676.387603063218
2025-02-03,10437.06,12744.842075564973
2025-02-05,11992.891666678,12093.973291665481
2025-02-06,13558.54166662,15434.293687258603
2025-02-07,13981.508333324,13523.25602964213
2025-02-08,13876.124999993,14088.9248663172
2025-02-09,11545.041666624,13776.258348392055
2025-02-10,13560.649999966,12510.796643081107
2025-02-12,13649.208333291,11774.564426741883
2025-02-13,13560.62,13693.71291385248
2025-02-14,12695.941666638,13340.088388502461
2025-02-15,11032.799999991,14879.343733145513
2025-02-16,12743.091666659,14876.722468455871
2025-02-17,11481.02499996,13595.408216677062
2025-02-19,11022.758333318001,13248.948014426165
2025-02-20,14736.291666611,14188.7432520206
2025-02-21,14882.124999951,13635.208587826359
2025-02-22,11148.033333284,14576.996249125901
2025-02-23,11047.83,14528.275387429472
2025-02-24,14472.22,13552.555750822787
2025-02-26,11735.858333306,13124.0047795721
2025-02-27,14133.641666295,14766.506747717325
2025-02-28,25406.57499993,14661.948275086008
2025-03-01,8135.758333305,13826.757641497927
2025-03-02,9034.649999964,12665.481917455207
2025-03-04,8665.541666646,11937.550645202007
2025-03-05,12754.883333314,11612.660031383144
2025-03-06,13962.29999997,11958.789454438274
2025-03-07,12517.866666656,11751.430033387653
2025-03-08,10600.875,11559.070343734411
2025-03-09,12815.191666649,12050.525812340566
2025-03-11,8914.62,11327.692409559932
2025-03-12,11222.17,11043.19130416461
2025-03-13,12825.960000000001,12335.69380245773
2025-03-14,12573.59,12541.678786107528
2025-03-15,9172.775000008,12551.395826969812
2025-03-16,10090.074999971,12692.446659797542
2025-03-18,8961.866666659,12648.420797110388
2025-03-19,8682.808333292,11909.112220964862
2025-03-20,10210.916666632,13124.0350030314
2025-03-21,9469.224999984,12902.261837302849
2025-03-22,7513.808333333,13015.073051350557
2025-03-23,10449.92499997,13106.047454325235
2025-03-24,7767.716666666,12095.961140181123
2025-03-25,9038.966666661,11337.90737362451
2025-03-26,8452.041666649,11512.13603000255
2025-03-27,12213.716666655,11472.593510399589
2025-03-28,8772.166666697,11541.270205157067
2025-03-30,11245.900000025,11761.511282001968
2025-03-31,9516.424999992,11013.643746719114
2025-04-02,9970.591666651,10370.332414092214
2025-04-03,10651.583333344,10851.194987152268
2025-04-04,9028.466666664,10133.666391060651
2025-04-05,10675.349999992,9138.656610393498
2025-04-06,14910.674999982,10433.470211485024
2025-04-08,11233.933333318,8221.73895270828
2025-04-09,8719.15833331,8462.748955283503
2025-04-10,10273.116666638,9837.17404538084
2025-04-11,8330.349999978,11208.454439869063
2025-04-12,8445.88333332,10816.348070392683
2025-04-13,10478.041666657,11880.690993728052
2025-04-15,7214.816666658,9236.083032761462
2025-04-16,9614.45833332,8983.259958416846
2025-04-17,9319.666666645,10486.206547947097
2025-04-18,7639.549999978,10624.794159766223
2025-04-19,8468.991666633,9821.572287618648
2025-04-20,12029.466666635,11181.121498363369
2025-04-22,7977.358333296,8716.133278845497
2025-04-23,9553.899999961,8649.637752106677
2025-04-24,9835.466666633,10160.300918889448
2025-04-25,8334.533333251,10702.730797229517
2025-04-26,8123.183333246,10815.761120803334
2025-04-27,10935.799999999,12173.922886901375
2025-04-28,8967.899999991,9418.431056943728
2025-04-29,8884.325000017,8598.332677232705
2025-04-30,9641.241666643,9902.419155947351
2025-05-02,5988.06,10504.701629854182
2025-05-03,7374.85,10711.13534599702
2025-05-04,8165.44,12103.20458284822
2025-05-06,7909.1,9258.859604977704
2025-05-07,8634.541666662,8132.085627388569
2025-05-08,9115.691666677,10086.307915214591
2025-05-09,8118.783333334,9123.119125780971
2025-05-10,8831.833333319,9843.701668097541
2025-05-11,11817.299999975,11434.267547094003
2025-05-13,7540.441666649,8151.141643232297
