fecha_reparto,Real,Predicción
2024-07-01,7997.583333332,11549.4384765625
2024-07-03,7246.149999998,10894.412109375
2024-07-04,8983.766666655,10307.0244140625
2024-07-05,10525.900000001,10590.5224609375
2024-07-06,8141.591666673,9677.3642578125
2024-07-07,11525.991666669,10206.3798828125
2024-07-08,14319.508333337,11240.615234375
2024-07-10,9959.15,9188.4814453125
2024-07-11,10537.608333328,10818.234375
2024-07-12,10360.116666663,12362.568359375
2024-07-13,9779.224999991,10892.466796875
2024-07-14,8662.941666658,11858.85546875
2024-07-15,10520.224999991,12139.544921875
2024-07-17,7191.983333323,11229.439453125
2024-07-18,9861.983333315,11158.8017578125
2024-07-19,13152.833333309,12805.615234375
2024-07-20,11711.716666641,10706.6923828125
2024-07-21,9460.633333312,11490.5546875
2024-07-22,11283.249999985,12159.171875
2024-07-24,8172.091666586,10881.2783203125
2024-07-25,12014.658333312,11120.275390625
2024-07-26,14587.008333285,11859.86328125
2024-07-27,14458.69166664,10890.7744140625
2024-07-28,10492.624999997,12421.7744140625
2024-07-31,13249.458333312,13418.20703125
2024-08-01,8405.858333336,13431.9833984375
2024-08-02,8347.391666659,12561.6611328125
2024-08-03,9770.758333335,10439.31640625
2024-08-04,11086.874999993,9861.7724609375
2024-08-05,10954.358333327,10624.06640625
2024-08-07,12812.924999994,12037.8876953125
2024-08-08,8485.675,9723.0830078125
2024-08-09,11189.250000009,11919.1044921875
2024-08-10,8088.633333343,13331.291015625
2024-08-11,8833.741666678001,12402.4677734375
2024-08-12,9764.841666672,11689.7978515625
2024-08-14,6518.008333334,11897.7177734375
2024-08-15,7838.649999994,10971.302734375
2024-08-16,11339.966666664,12155.4892578125
2024-08-17,9084.65,12913.5361328125
2024-08-18,9961.475000009,11693.6005859375
2024-08-19,10164.491666672,11110.021484375
2024-08-21,8349.99166666,12491.4794921875
2024-08-22,8353.333333295,10509.96484375
2024-08-23,9352.574999971,11301.5810546875
2024-08-24,10387.941666647,12316.7724609375
2024-08-25,8668.274999986,12345.1201171875
2024-08-26,10020.974999984,12604.876953125
2024-08-28,8484.93333332,15141.4775390625
2024-08-29,9898.866666664,13018.8740234375
2024-08-30,11498.49999998,14412.421875
2024-08-31,10130.416666654,14398.099609375
2024-09-01,6466.15,14075.0625
2024-09-02,7849.18,12000.16796875
2024-09-04,7012.03,12476.439453125
2024-09-05,8015.79,12145.5830078125
2024-09-06,10754.17,12941.93359375
2024-09-07,8981.8,8475.4619140625
2024-09-08,9871.550000000001,9270.025390625
2024-09-09,9941.84,10353.4736328125
2024-09-11,7835.33,8413.4990234375
2024-09-12,8091.82,8000.8212890625
